din_instante;id_subsistema;nom_subsistema;id_estado;nom_estado;cod_modalidadeoperacao;nom_tipousina;nom_tipocombustivel;nom_usina;id_ons;ceg;val_geracao
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;HIDROELÉTRICA;Hidráulica;Balbina;AMBA;UHE.PH.AM.000190-2.01;106.55400000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO III;TÉRMICA;Óleo Combustível;Electron;AMELC;UTE.PE.AM.027120-9.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO III;TÉRMICA;Óleo Diesel;Flores 3;AMFL3;UTE.PE.AM.029192-7.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO III;TÉRMICA;Óleo Diesel;Flores 4;AMFL4;UTE.PE.AM.029192-7.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Aparecida;AMAA;UTE.GN.AM.027250-7.02;91.63000000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO III;TÉRMICA;Óleo Diesel;Flores 1;AMFL1;UTE.PE.AM.029192-7.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Mauá Bloco 4;AMMU4;UTE.PE.AM.002952-1.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Mauá 3;AMCM;UTE.GN.AM.031888-4.01;507.41700000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Óleo Diesel;Iranduba;AMIRD;UTE.PE.AM.030274-0.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO III;TÉRMICA;Óleo Diesel;Flores 2;AMTFL2;UTE.PE.AM.029192-7.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Mauá Bloco 3;AMMU3;UTE.PE.AM.002952-1.01;0E-8
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Ponta Negra;AMUTPN;UTE.GN.AM.029361-0.02;64.95000000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Tambaqui;AMTA;UTE.PE.AM.029276-1.01;61.75100000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Jaraqui;AMJA;UTE.GN.AM.029272-9.01;62.58000000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Cristiano Rocha;AMCR;UTE.PE.AM.029499-3.01;65.84200000
2021-01-01 00:00:00;N;NORTE;AM;AMAZONAS;TIPO I;TÉRMICA;Gás;Manauara;AMMA;UTE.GN.AM.029432-2.01;66.87200000
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO I;HIDROELÉTRICA;Hidráulica;Santo Antônio do Jari;APSAJ;UHE.PH.AP.026792-9.01;86.02200000
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO I;HIDROELÉTRICA;Hidráulica;Cachoeira Caldeirão;APUCCA;UHE.PH.AP.031186-3.01;55.44500000
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO I;HIDROELÉTRICA;Hidráulica;Ferreira Gomes;APFGO;UHE.PH.AP.030385-2.01;65.95800000
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO I;HIDROELÉTRICA;Hidráulica;Coaracy Nunes;APCN;UHE.PH.AP.000783-8.01;72.28900000
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO II-A;TÉRMICA;Óleo Diesel;Santana II;APUTSE;UTE.PE.AP.049990-0.01;0E-8
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO II-A;TÉRMICA;Óleo Diesel;Santa Rita;APUTOL;UTE.PE.AP.049991-9.01;0E-8
2021-01-01 00:00:00;N;NORTE;AP;AMAPA;TIPO II-A;TÉRMICA;Óleo Combustível;Santana;APUTSN;UTE.PE.AP.049992-7.01;0E-8
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;Conjunto de Usinas;EOLIELÉTRICA;Eólica;Conj. Paulino Neves;CJU_MAPLN;-;261.17400000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;HIDROELÉTRICA;Hidráulica;Estreito;MAUHET;UHE.PH.MA.028863-2.01;271.11500000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Óleo Combustível;Geramar I;MAGM1;UTE.PE.MA.029705-4.01;0E-8
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Gás;Maranhão IV;MAUTM4;UTE.GN.MA.030202-3.01;335.67000000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Gás;Maranhão V;MAUTM5;UTE.GN.MA.030203-1.01;332.37900000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Óleo Combustível;Geramar II;MAGM2;UTE.PE.MA.029668-6.01;0E-8
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO II-B;TÉRMICA;Resíduos Industriais;Suzano Maranhão;MAUSUZ;UTE.FL.MA.030959-1.01;221.05800000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Gás;Maranhão III;MAUTM3;UTE.GN.MA.030800-5.01;519.04600000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Carvão;Porto do Itaqui;MAUTPI;UTE.CM.MA.029700-3.01;359.61900000
2021-01-01 00:00:00;N;NORTE;MA;MARANHAO;TIPO I;TÉRMICA;Gás;MC2 Nova Venécia 2;MAUTNV;UTE.GN.MA.030196-5.01;0E-8
